1.000000000000000000e+00 5.247592926025390625e-04
2.000000000000000000e+00 4.949569702148437500e-04
4.000000000000000000e+00 2.756834030151367188e-03
8.000000000000000000e+00 2.550840377807617188e-03
1.600000000000000000e+01 3.986835479736328125e-03
3.200000000000000000e+01 7.698774337768554688e-03
6.400000000000000000e+01 1.185727119445800781e-02
1.280000000000000000e+02 2.120971679687500000e-02
2.560000000000000000e+02 4.443907737731933594e-02
5.120000000000000000e+02 9.362864494323730469e-02
1.024000000000000000e+03 1.821269989013671875e-01
2.048000000000000000e+03 4.166562557220458984e-01
4.096000000000000000e+03 7.483611106872558594e-01
8.192000000000000000e+03 1.570129871368408203e+00
1.638400000000000000e+04 3.120962619781494141e+00
3.276800000000000000e+04 6.191646099090576172e+00
6.553600000000000000e+04 1.318611836433410645e+01
